Tempo_Total,Tempo_Inicial,Tempo_Final,Total_Processos,Numero_Processo,Id_Processo,Algoritmo
Tempo_Total,Tempo_Inicial,Tempo_Final,Total_Processos,Numero_Processo,Id_Processo,Algoritmo
12.266579,0.000069,12.266648,3,2,PROCESSO_2,BATCH
12.282133,0.000075,12.282208,3,1,PROCESSO_1,BATCH
12.283251,0.000068,12.283319,3,3,PROCESSO_3,BATCH
16.001950,0.000046,16.001996,3,2,PROCESSO_2,FIFO
16.451036,0.000080,16.451116,3,1,PROCESSO_1,FIFO
17.050489,0.000039,17.050528,3,3,PROCESSO_3,FIFO
12.282398,0.000039,12.282437,3,2,PROCESSO_2,OTHER
12.296572,0.000052,12.296624,3,3,PROCESSO_3,OTHER
12.299555,0.000055,12.299610,3,1,PROCESSO_1,OTHER
