Tempo_Total,Tempo_Inicial,Tempo_Final,Total_Processos,Numero_Processo,Id_Processo,Algoritmo
Tempo_Total,Tempo_Inicial,Tempo_Final,Total_Processos,Numero_Processo,Id_Processo,Algoritmo
12.267104,0.000042,12.267146,3,2,PROCESSO_2,BATCH
12.280311,0.000051,12.280362,3,1,PROCESSO_1,BATCH
12.293203,0.000050,12.293253,3,3,PROCESSO_3,BATCH
13.459560,0.000084,13.459644,3,1,PROCESSO_1,FIFO
14.407828,0.000049,14.407877,3,3,PROCESSO_3,FIFO
14.408575,0.000059,14.408634,3,2,PROCESSO_2,FIFO
12.272123,0.000054,12.272177,3,1,PROCESSO_1,OTHER
12.279208,0.000042,12.279250,3,2,PROCESSO_2,OTHER
12.281685,0.000049,12.281734,3,3,PROCESSO_3,OTHER
